"Year","Country","Registered","Senior","U20","Female","MaleRefs","FemaleRefs","IndoorRinks","OutdoorRinks","Population","WM","WMI","WMII","WMIII","WM20","WM20I","WM20II","WM20III","WM18","WM18I","WM18II","WM18III","OGM","WW","WWI","WWII","WWIII","WWIV","WWV","WW18","WW18I","WW18II","OGW"
2012,"Netherlands",2842,1468,1156,218,52,5,26,4,16730632,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"New Zealand",1193,593,437,163,60,6,6,3,4327944,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2012,"Norway",6893,2130,4212,551,164,14,41,3,4707270,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Poland",2575,713,1494,368,76,3,35,6,38415284,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2012,"Portugal",116,48,50,18,5,2,1,0,10781459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Romania",1093,151,872,70,51,5,5,15,21848504,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"Russia",64326,2606,61220,500,230,5,346,2000,138082178,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"Serbia",564,147,414,3,21,2,4,1,7276604,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Singapore",414,285,97,32,15,1,2,0,5353494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Slovakia",9034,2041,6576,417,327,16,47,21,5483088,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2012,"Slovenia",924,148,707,69,46,4,7,1,1996617,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2012,"South Africa",466,171,235,60,8,2,5,0,48810427,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,"Spain",854,236,530,88,30,1,18,0,47042984,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012,"Sweden",69921,13084,53334,3503,2420,41,342,136,9103788,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"Switzerland",26166,11219,13775,1172,1079,43,158,29,7655628,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2012,"Thailand",114,43,62,9,15,3,3,0,67091089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"Turkey",790,310,320,160,80,30,8,3,79749461,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012,"Ukraine",4003,607,3384,12,74,0,25,0,44854065,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,"United Arab Emirates",371,118,186,67,12,0,4,0,5314317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"United States",511178,139033,305453,66692,23693,1263,2000,0,313847465,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2013,"Andorra",56,23,24,9,0,0,1,0,85293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Australia",3658,2203,1067,388,375,29,20,0,22262501,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,"Austria",11372,5867,4853,652,413,22,45,72,8221646,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Belarus",7255,3219,3977,59,127,0,30,3,9625888,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Belgium",1032,255,732,45,38,3,18,1,10444268,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,"Bosnia & Herzegovina",203,58,135,10,6,0,2,0,3875723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Bulgaria",488,61,378,49,30,1,3,5,6981642,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2013,"Canada",625152,91379,446543,87230,31804,1484,2631,5000,34568211,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2013,"China",610,118,308,184,63,32,58,43,1349585838,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Chinese Taipei",546,65,439,42,35,4,4,0,23299716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Croatia",552,99,402,51,14,1,2,4,4475611,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,"Czech Republic",107722,82003,23209,2510,4333,206,158,23,10162921,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2013,"Denmark",4198,1627,2165,406,102,4,25,0,5556452,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"DPR Korea",1575,640,420,515,20,0,3,12,24720407,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,"Estonia",1341,568,700,73,23,1,7,6,1266375,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"Finland",66636,24778,37071,4787,1700,50,259,15,5266114,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2013,"FYR Macedonia",126,79,47,0,0,0,1,4,2087171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"France",18041,6763,10022,1256,99,7,124,5,65951611,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Georgia",335,80,255,0,4,0,3,1,4555911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,"Germany",34256,9586,21556,3114,192,17,201,45,81147265,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2013,"Great Britain",6798,2289,3815,694,292,27,84,0,63395574,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"Greece",713,463,153,97,4,2,0,0,10772967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,"Hong Kong",1337,597,661,79,9,0,4,0,7182724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Hungary",3913,209,3216,488,86,5,18,18,9939470,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
2013,"Iceland",611,62,445,104,18,3,3,0,315281,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,"India",910,300,345,265,10,0,3,12,1220800359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Ireland",297,189,70,38,14,4,0,0,4775982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2013,"Israel",653,270,374,9,5,0,2,0,7707042,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Italy",6909,2002,4502,405,156,6,45,24,61482297,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2013,"Japan",15474,7746,5620,2108,820,68,110,120,127253075,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"Kazakhstan",4324,444,3773,107,46,7,18,81,17736896,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"Korea",2106,120,1796,190,62,11,43,4,48955203,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2013,"Kuwait",340,89,179,72,1,1,2,0,2695316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Kyrgyzstan",330,228,102,0,6,0,1,4,5548042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Latvia",4569,2851,1636,82,161,22,17,0,2178443,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2013,"Liechtenstein",87,65,22,0,0,0,0,0,37009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Lithuania",1073,464,609,0,33,1,8,4,3515858,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,"Luxembourg",392,130,235,27,26,8,3,1,514862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,"Macau",137,48,61,28,8,0,1,0,583003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Malaysia",230,118,97,15,1,0,1,0,29628392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Mexico",2345,390,1597,358,18,2,23,0,116220947,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Mongolia",976,460,516,0,8,0,0,13,3226516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
