simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
200,True,10,True,251.0,571889.8087649402,309030.83540658414,12416.0,384904.0,521483.0,701518.5,1241626.0
201,True,1,True,237.0,410938.16455696203,220365.41920033973,8851.0,265519.0,345175.0,495635.0,885063.0
201,True,2,True,238.0,537671.9453781513,289635.3640265977,11006.0,341184.0,478758.0,723639.5,1100593.0
201,True,3,True,238.0,582495.8067226891,346434.7991506407,27247.0,395085.0,558569.0,790170.0,1362363.0
201,True,4,True,218.0,611958.8256880734,305949.62489114015,12892.0,441553.0,560805.0,760632.0,1289206.0
201,True,5,True,234.0,540109.2991452991,314044.3131582736,11905.0,380966.0,500018.0,711335.75,1190520.0
201,True,6,True,228.0,580691.0701754387,296238.16929582105,12937.0,423687.75,582166.0,750348.0,1293703.0
201,True,7,True,237.0,567707.164556962,301490.71499379305,0.0,435074.0,519672.0,725123.0,1208539.0
201,True,8,True,237.0,555043.2953586498,293061.94304291776,12112.0,399686.0,508692.0,690368.0,1211171.0
201,True,9,True,243.0,634122.7901234567,339008.5507458032,12894.0,444830.5,567320.0,818746.0,1289364.0
201,True,10,True,245.0,649673.4,338232.9505652775,13232.0,436662.0,568984.0,833628.0,1323219.0
202,False,1,True,218.0,416507.46788990824,197935.54380926734,17701.0,274370.0,371727.0,513337.0,885063.0
202,False,2,True,239.0,502960.7322175732,252494.96563581662,11633.0,337368.0,465335.0,657285.5,1163337.0
202,False,3,True,246.0,559310.8617886179,305383.70666295424,0.0,360916.0,477341.0,745117.0,1164245.0
202,False,4,True,238.0,574044.5420168068,320145.38657694636,13069.0,392068.0,548895.0,744929.0,1306893.0
202,False,5,True,255.0,638695.568627451,381593.25507796166,14763.0,383843.0,575764.0,834119.5,1476318.0
202,False,6,True,236.0,655704.0169491526,329651.42891764716,26054.0,455940.0,586209.0,863029.75,1302687.0
202,False,7,False,238.0,649496.6386554622,352921.7330614909,13753.0,440086.0,577613.0,893925.0,1375269.0
203,True,1,True,234.0,390222.02991452994,199403.1479789133,17701.0,256668.0,358450.5,495635.0,885063.0
203,True,2,True,228.0,483519.5964912281,247929.25068335354,10354.0,310630.0,424527.0,610905.0,1035432.0
203,True,3,True,246.0,489863.9512195122,267626.4070523396,10659.0,319759.0,437004.0,639518.0,1065864.0
203,True,4,True,227.0,529034.1145374449,293887.36628183816,11784.0,365304.0,471360.0,683472.0,1178400.0
203,True,5,True,235.0,609512.3106382978,331777.94929775485,12773.0,395960.0,536462.0,772761.5,1277291.0
203,True,6,True,226.0,618264.9424778761,331039.47129930835,14544.0,450876.0,581775.0,785397.0,1454438.0
203,True,7,True,245.0,598209.3959183673,366706.5590273882,14797.0,340324.0,591868.0,739835.0,1479670.0
203,True,8,True,256.0,687007.02734375,364504.8525604144,14386.0,517911.0,661775.0,920730.0,1438641.0
203,True,9,True,241.0,592854.3941908714,334724.0454287404,12376.0,408399.0,519781.0,767296.0,1237574.0
203,True,10,True,226.0,588419.8805309734,304044.777348438,12298.0,405848.0,541131.0,750204.0,1229843.0
204,True,1,True,220.0,408175.0,201861.71088184635,17701.0,265519.0,371727.0,495635.0,885063.0
204,True,2,True,237.0,560512.6666666666,299337.936325181,11054.0,364797.0,486396.0,740649.0,1105447.0
204,True,3,True,237.0,547435.135021097,292192.20524181495,11815.0,389900.0,484421.0,685279.0,1181515.0
204,True,4,True,250.0,598900.6,284720.4712260161,23455.0,375280.0,527738.0,738833.0,1172751.0
204,True,5,True,225.0,529476.4044444445,310569.5018618029,12172.0,353002.0,474727.0,669487.0,1217250.0
204,True,6,True,225.0,627546.5155555556,329611.7131132031,0.0,428685.0,589441.0,776991.0,1339639.0
204,True,7,True,246.0,596926.569105691,340420.1713248529,14060.0,421804.0,562405.0,755732.0,1406013.0
204,True,8,True,219.0,589920.0502283105,349919.01231800416,14205.0,383529.0,553987.0,752854.0,1420478.0
204,True,9,True,232.0,639150.1939655172,335102.34402277705,14901.0,491743.0,603502.5,819572.0,1490130.0
204,True,10,True,256.0,629316.828125,329435.0149128849,12916.0,452071.0,581234.0,829873.0,1291631.0
205,False,1,True,233.0,407432.90128755366,208270.28819626817,61954.0,247818.0,362876.0,531038.0,885063.0
205,False,2,True,257.0,559831.7509727627,288022.05539220746,11033.0,375139.0,496507.0,728211.0,1103350.0
205,False,3,True,256.0,622063.85546875,344131.06109866453,13386.0,371450.5,568887.5,833253.25,1338559.0
205,False,4,True,243.0,620003.6255144033,333702.15708798973,13327.0,413135.0,559731.0,812942.0,1332693.0
205,False,5,True,246.0,575226.7235772358,300218.1325303946,37478.0,374784.0,512204.0,712089.0,1249279.0
205,False,6,True,233.0,574141.2746781115,296916.9280400404,12518.0,400561.0,525737.0,713500.0,1251754.0
205,False,7,True,230.0,598878.2826086957,328192.4919928328,13683.0,410476.0,547301.0,749118.5,1368253.0
205,False,8,True,237.0,652144.7637130802,329240.58571133914,13462.0,471173.0,619256.0,848112.0,1346210.0
205,False,9,True,260.0,604867.5230769231,328455.18854077294,13154.0,434072.0,578763.0,802375.0,1315370.0
205,False,10,False,217.0,560092.8294930876,291355.6502581597,12891.0,425416.0,541439.0,696136.0,1289140.0
206,True,1,True,234.0,423809.0213675214,218452.85896795726,8851.0,283220.0,380577.0,537676.25,885063.0
206,True,2,True,227.0,523741.8370044053,257896.96489548922,11072.0,348763.0,453945.0,664310.0,1107184.0
206,True,3,True,260.0,652052.9307692308,369921.196998337,14024.0,431232.0,603024.0,911547.0,1402381.0
206,True,4,True,245.0,595908.4734693877,349382.30737119593,13051.0,391519.0,548127.0,756938.0,1305065.0
206,True,5,True,234.0,616503.8333333334,291097.12912702106,13411.0,415740.0,563261.0,751015.0,1341098.0
206,True,6,True,257.0,618453.2101167315,364935.1737932404,14116.0,423470.0,578743.0,804593.0,1411568.0
206,True,7,True,229.0,604753.5982532752,325605.43678663194,13620.0,435841.0,544802.0,749102.0,1362004.0
206,True,8,True,229.0,577660.6593886463,272168.601259173,12902.0,438668.0,554786.0,709611.0,1290201.0
206,True,9,True,245.0,569960.2816326531,285274.3823209017,11842.0,390784.0,544730.0,674991.0,1184195.0
206,True,10,True,240.0,657493.4125,346218.90201305016,13681.0,465159.0,615652.0,783246.25,1368116.0
207,True,1,True,228.0,424946.72807017545,209016.16359056914,8851.0,292071.0,380577.0,524399.75,885063.0
207,True,2,True,238.0,533342.3319327731,267224.9263967057,10798.0,345520.0,469691.5,688340.75,1079751.0
207,True,3,True,220.0,526735.4727272728,280585.7375033939,11511.0,356843.0,471953.0,621597.0,1151106.0
207,True,4,True,237.0,534197.9578059071,294157.1861718503,11689.0,362363.0,502632.0,666280.0,1168913.0
207,True,5,True,238.0,496613.50420168065,292424.52712373866,11868.0,332306.0,462854.0,629007.0,1186806.0
207,True,6,True,236.0,612152.1313559322,338154.78126962855,13578.0,407334.0,543113.0,787513.0,1357781.0
207,True,7,True,223.0,666831.5515695068,353352.1473935794,14596.0,467070.0,613030.0,883055.0,1459594.0
207,True,8,True,255.0,648747.3607843138,390812.70828522387,14519.0,464611.0,638840.0,885665.0,1451910.0
207,True,9,True,226.0,647519.8185840708,318544.58662991703,14161.0,456691.25,580600.0,821336.0,1416097.0
207,True,10,True,252.0,681366.6626984127,363275.40652160253,14759.0,501801.0,634630.0,915049.0,1475885.0
208,False,1,True,223.0,407644.9865470852,203661.77215136163,8851.0,265519.0,371727.0,504486.0,885063.0
208,False,2,True,237.0,579121.2953586498,329149.1833754891,13114.0,393422.0,550791.0,747501.0,1311406.0
208,False,3,True,246.0,590621.256097561,324375.2900019237,12287.0,368608.0,516051.0,783291.25,1228692.0
208,False,4,True,249.0,589633.2048192772,333760.2126689531,13066.0,391969.0,548757.0,731676.0,1306565.0
208,False,5,True,238.0,589788.5042016807,336388.5856746885,13651.0,382218.0,532376.0,764437.0,1365065.0
208,False,6,True,241.0,621754.580912863,357809.31059042393,14107.0,423205.0,536060.0,846411.0,1410684.0
208,False,7,True,245.0,647293.9510204082,372742.8000861384,13985.0,461497.0,601344.0,839085.0,1398475.0
208,False,8,True,240.0,675521.2583333333,372997.891809078,0.0,466405.0,650140.0,961076.0,1413348.0
208,False,9,True,245.0,594658.3755102041,335554.24735944706,13325.0,439712.0,546309.0,746178.0,1332461.0
208,False,10,False,236.0,652531.8644067796,341638.34428971796,14278.0,485436.0,628212.0,856652.0,1427754.0
209,False,1,True,220.0,410468.12272727274,192249.30271596517,17701.0,283220.0,362876.0,495635.0,885063.0
209,False,2,True,224.0,539313.4553571428,270788.85720871453,11113.0,388945.0,494515.5,658428.0,1111271.0
209,False,3,True,235.0,577129.3574468085,300857.0286670379,12317.0,394153.0,529642.0,726719.0,1231727.0
209,False,4,True,245.0,573506.8612244898,310729.905215093,12956.0,388684.0,505289.0,673719.0,1295613.0
209,False,5,False,243.0,662970.086419753,329810.8056900285,13941.0,460052.0,585520.0,850399.0,1394096.0
210,True,1,True,227.0,410365.12775330397,206637.39496556806,61954.0,256668.0,362876.0,508911.5,885063.0
210,True,2,True,242.0,563024.132231405,298218.51596190647,11769.0,376614.0,494306.0,717920.0,1176919.0
210,True,3,True,246.0,575825.256097561,293728.25602370984,11546.0,369459.0,536870.5,805305.75,1154561.0
210,True,4,True,231.0,547547.8701298701,285185.5595149152,12078.0,386504.0,507287.0,706578.5,1207826.0
210,True,5,True,234.0,569255.5726495726,308132.961780034,12848.0,401493.0,546031.0,745172.0,1284778.0
210,True,6,True,239.0,605670.5313807531,326474.6367107015,13493.0,431783.0,566715.0,755620.0,1349322.0
210,True,7,True,222.0,574480.7162162162,312675.93630079646,12479.0,386847.0,524115.0,736257.0,1247894.0
210,True,8,True,245.0,611498.5020408164,347650.16069781734,13311.0,425957.0,572380.0,798670.0,1331117.0
210,True,9,True,241.0,600889.9253112033,306827.44505035353,12624.0,429230.0,542849.0,719591.0,1262440.0
210,True,10,True,235.0,613038.1319148936,320605.1562430059,13706.0,328944.0,603065.0,815508.0,1370602.0
211,True,1,True,233.0,414080.35622317594,208948.07141217706,17701.0,265519.0,389428.0,513337.0,885063.0
211,True,2,True,228.0,489911.9692982456,255830.19489069236,10239.0,307177.0,430048.0,634833.0,1023925.0
211,True,3,True,225.0,537780.9022222222,291831.5644361476,47368.0,343416.0,497361.0,663147.0,1184192.0
211,True,4,True,229.0,574966.2663755459,328773.648913381,12734.0,394747.0,509351.0,700358.0,1273378.0
211,True,5,True,252.0,552853.8928571428,292889.6410949855,11759.0,364525.0,523270.5,682015.0,1175888.0
211,True,6,True,249.0,590927.1686746988,305644.0526751093,11884.0,415954.0,534798.0,736833.0,1188441.0
211,True,7,True,234.0,616611.2051282051,319154.0014375058,13147.0,446994.0,578463.0,821680.5,1314688.0
211,True,8,True,243.0,548051.6748971193,305032.343105181,12173.0,377374.0,499108.0,693881.5,1217336.0
